scenario,priority_type,priority_growth_rate,capacity,max,capacity_ratio,tracing_delay,vaccinated,priority,samples_isol_swab,samples_test_turnaround_time,samples_time_to_interview
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,FALSE,1,2,Inf
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,TRUE,1,2,Inf
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,FALSE,0,1,Inf
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,FALSE,1,1,Inf
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,FALSE,1,1,Inf
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,FALSE,0,1,Inf
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,FALSE,0,1,Inf
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,FALSE,0,1,Inf
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,7,FALSE,FALSE,4,2,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,0,2,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,0,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,2,0,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,2,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,5,FALSE,FALSE,2,2,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,1,0,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,1,2,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,0,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,0,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,1,FALSE,FALSE,0,1,0
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,2,2,0
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,5,FALSE,FALSE,2,2,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,1,FALSE,FALSE,0,1,0
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,0,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,0,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,1,0,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,5,FALSE,FALSE,2,2,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,0,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,2,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,5,FALSE,FALSE,4,1,0
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,2,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,0,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,3,1,0
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,2,1,0
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,2,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,0,2,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,0,2,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,5,FALSE,FALSE,2,2,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,2,0
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,0,2,0
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,0,2
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,5,FALSE,FALSE,2,1,2
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,2,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,TRUE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,0,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,TRUE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,2,1,0
optimal_old_swab_delay_poisson1_capacity80pct_max_5d,old_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,2,1,0
