scenario,priority_type,priority_growth_rate,capacity,vaccination,max,capacity_ratio,tracing_delay,vaccinated,priority,samples_isol_swab,samples_test_turnaround_time,samples_time_to_interview
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,0,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,TRUE,1,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,1,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,0,0,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,3,2,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,2,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,1,0,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,TRUE,1,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,0,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,0,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,1,2,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,0,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,0,2,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,1,2,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,0,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,TRUE,0,2,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,0,2,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,1,0,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,0,FALSE,FALSE,0,0,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,2,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,0,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,1,0,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,1,2,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,0,FALSE,FALSE,0,0,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,3,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,2,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,1,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,2,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,TRUE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,3,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,1,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,0,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,2,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,0,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,TRUE,2,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,TRUE,1,1,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,TRUE,0,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,2,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,0,Inf
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,3,1,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,TRUE,2,2,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,1,2,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,2,0,1
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,TRUE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,TRUE,0,2,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
optimal_new_swab_vaccine_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,new_swab_vaccine,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
